Testing adventurer 10000 times...
Failure number 75: Adventure card failed (number of players = 3, handpos = 2, original deck count = 4 error number 2)
Failure number 76: Adventure card failed (number of players = 2, handpos = 24, original deck count = 1 error number 2)
Failure number 77: Adventure card failed (number of players = 3, handpos = 6, original deck count = 1 error number 2)
Failure number 78: Adventure card failed (number of players = 3, handpos = 2, original deck count = 9 error number 2)
Failure number 79: Adventure card failed (number of players = 2, handpos = 0, original deck count = 2 error number 2)
Failure number 80: Adventure card failed (number of players = 3, handpos = 0, original deck count = 10 error number 2)
Failure number 81: Adventure card failed (number of players = 2, handpos = 0, original deck count = 20 error number 2)
Failure number 82: Adventure card failed (number of players = 3, handpos = 0, original deck count = 0 error number 2)
Failure number 83: Adventure card failed (number of players = 3, handpos = 19, original deck count = 9 error number 2)
Failure number 84: Adventure card failed (number of players = 2, handpos = 2, original deck count = 4 error number 2)
Failure number 85: Adventure card failed (number of players = 2, handpos = 0, original deck count = 3 error number 2)
Failure number 86: Adventure card failed (number of players = 3, handpos = 0, original deck count = 2 error number 2)
Failure number 87: Adventure card failed (number of players = 2, handpos = 2, original deck count = 16 error number 2)
Failure number 88: Adventure card failed (number of players = 2, handpos = 1, original deck count = 17 error number 2)
Failure number 89: Adventure card failed (number of players = 3, handpos = 5, original deck count = 2 error number 2)
Failure number 90: Adventure card failed (number of players = 2, handpos = 9, original deck count = 24 error number 2)
Failure number 91: Adventure card failed (number of players = 2, handpos = 3, original deck count = 3 error number 2)
Failure number 92: Adventure card failed (number of players = 3, handpos = 3, original deck count = 23 error number 2)
Failure number 93: Adventure card failed (number of players = 2, handpos = 8, original deck count = 3 error number 2)
Failure number 94: Adventure card failed (number of players = 2, handpos = 10, original deck count = 1 error number 2)
Failure number 95: Adventure card failed (number of players = 2, handpos = 0, original deck count = 2 error number 2)
Failure number 96: Adventure card failed (number of players = 3, handpos = 7, original deck count = 19 error number 2)
Failure number 97: Adventure card failed (number of players = 3, handpos = 7, original deck count = 1 error number 2)
Failure number 98: Adventure card failed (number of players = 2, handpos = 3, original deck count = 7 error number 2)
Failure number 99: Adventure card failed (number of players = 2, handpos = 0, original deck count = 6 error number 2)
Failure number 100: Adventure card failed (number of players = 3, handpos = 15, original deck count = 10 error number 2)
Failure number 101: Adventure card failed (number of players = 2, handpos = 5, original deck count = 8 error number 2)
Failure number 102: Adventure card failed (number of players = 3, handpos = 1, original deck count = 9 error number 2)
Failure number 103: Adventure card failed (number of players = 3, handpos = 3, original deck count = 14 error number 2)
Failure number 104: Adventure card failed (number of players = 3, handpos = 1, original deck count = 2 error number 2)
Failure number 105: Adventure card failed (number of players = 3, handpos = 2, original deck count = 16 error number 2)
Failure number 106: Adventure card failed (number of players = 3, handpos = 3, original deck count = 13 error number 2)
Failure number 107: Adventure card failed (number of players = 3, handpos = 1, original deck count = 2 error number 2)
Failure number 108: Adventure card failed (number of players = 3, handpos = 0, original deck count = 6 error number 2)
Failure number 109: Adventure card failed (number of players = 3, handpos = 0, original deck count = 5 error number 2)
Failure number 110: Adventure card failed (number of players = 3, handpos = 4, original deck count = 4 error number 2)
Failure number 111: Adventure card failed (number of players = 2, handpos = 0, original deck count = 11 error number 2)
Failure number 112: Adventure card failed (number of players = 2, handpos = 1, original deck count = 10 error number 2)
Failure number 113: Adventure card failed (number of players = 3, handpos = 0, original deck count = 2 error number 2)
Failure number 114: Adventure card failed (number of players = 3, handpos = 8, original deck count = 6 error number 2)
Failure number 115: Adventure card failed (number of players = 3, handpos = 1, original deck count = 2 error number 2)
Failure number 116: Adventure card failed (number of players = 3, handpos = 2, original deck count = 0 error number 2)
Failure number 117: Adventure card failed (number of players = 3, handpos = 12, original deck count = 8 error number 2)
Failure number 118: Adventure card failed (number of players = 2, handpos = 15, original deck count = 5 error number 2)
Failure number 119: Adventure card failed (number of players = 3, handpos = 0, original deck count = 8 error number 2)
Failure number 120: Adventure card failed (number of players = 2, handpos = 11, original deck count = 2 error number 3)
Failure number 121: Adventure card failed (number of players = 2, handpos = 9, original deck count = 10 error number 2)
Failure number 122: Adventure card failed (number of players = 2, handpos = 3, original deck count = 12 error number 2)
Failure number 123: Adventure card failed (number of players = 2, handpos = 14, original deck count = 3 error number 2)
Failure number 124: Adventure card failed (number of players = 2, handpos = 5, original deck count = 18 error number 3)
Failure number 125: Adventure card failed (number of players = 2, handpos = 14, original deck count = 15 error number 2)
Failure number 126: Adventure card failed (number of players = 3, handpos = 0, original deck count = 4 error number 3)
Failure number 127: Adventure card failed (number of players = 2, handpos = 21, original deck count = 0 error number 2)
Failure number 128: Adventure card failed (number of players = 2, handpos = 11, original deck count = 8 error number 2)
Failure number 129: Adventure card failed (number of players = 2, handpos = 12, original deck count = 14 error number 2)
Failure number 130: Adventure card failed (number of players = 3, handpos = 0, original deck count = 0 error number 2)
Failure number 131: Adventure card failed (number of players = 2, handpos = 3, original deck count = 7 error number 2)
Failure number 132: Adventure card failed (number of players = 3, handpos = 4, original deck count = 1 error number 2)
Failure number 133: Adventure card failed (number of players = 2, handpos = 6, original deck count = 4 error number 2)
Failure number 134: Adventure card failed (number of players = 2, handpos = 0, original deck count = 0 error number 2)
Failure number 135: Adventure card failed (number of players = 3, handpos = 9, original deck count = 8 error number 2)
Failure number 136: Adventure card failed (number of players = 3, handpos = 1, original deck count = 7 error number 2)
Failure number 137: Adventure card failed (number of players = 2, handpos = 0, original deck count = 3 error number 2)
Failure number 138: Adventure card failed (number of players = 2, handpos = 1, original deck count = 9 error number 2)
Failure number 139: Adventure card failed (number of players = 2, handpos = 21, original deck count = 8 error number 2)
Failure number 140: Adventure card failed (number of players = 2, handpos = 2, original deck count = 1 error number 2)
Failure number 141: Adventure card failed (number of players = 3, handpos = 11, original deck count = 9 error number 2)
Failure number 142: Adventure card failed (number of players = 3, handpos = 11, original deck count = 0 error number 2)
Failure number 143: Adventure card failed (number of players = 2, handpos = 4, original deck count = 9 error number 2)
Failure number 144: Adventure card failed (number of players = 2, handpos = 2, original deck count = 5 error number 2)
Failure number 145: Adventure card failed (number of players = 2, handpos = 6, original deck count = 3 error number 2)
Failure number 146: Adventure card failed (number of players = 3, handpos = 9, original deck count = 2 error number 2)
